,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
346,IMCKDE,Trip Advisor,6,4.299999999999999,0.5,,,
347,IMCKDE,Trip Advisor,7,4.299999999999999,0.5,,,
348,IMCKDE,Trip Advisor,8,4.299999999999999,0.5,,,
349,IMCKDE,Trip Advisor,9,4.299999999999999,0.5,,,
350,IMCKDE,Trip Advisor,10,4.299999999999999,0.5,,,
351,IMCKDE,Trip Advisor,2,4.399999999999999,0.5,,,
352,IMCKDE,Trip Advisor,3,4.399999999999999,0.5,,,
353,IMCKDE,Trip Advisor,4,4.399999999999999,0.5,,,
354,IMCKDE,Trip Advisor,5,4.399999999999999,0.5,,,
355,IMCKDE,Trip Advisor,6,4.399999999999999,0.5,,,
356,IMCKDE,Trip Advisor,7,4.399999999999999,0.5,,,
357,IMCKDE,Trip Advisor,8,4.399999999999999,0.5,,,
358,IMCKDE,Trip Advisor,9,4.399999999999999,0.5,,,
359,IMCKDE,Trip Advisor,10,4.399999999999999,0.5,,,
360,IMCKDE,Trip Advisor,2,4.499999999999999,0.5,,,
361,IMCKDE,Trip Advisor,3,4.499999999999999,0.5,,,
362,IMCKDE,Trip Advisor,4,4.499999999999999,0.5,,,
363,IMCKDE,Trip Advisor,5,4.499999999999999,0.5,,,
364,IMCKDE,Trip Advisor,6,4.499999999999999,0.5,,,
365,IMCKDE,Trip Advisor,7,4.499999999999999,0.5,,,
366,IMCKDE,Trip Advisor,8,4.499999999999999,0.5,,,
367,IMCKDE,Trip Advisor,9,4.499999999999999,0.5,,,
368,IMCKDE,Trip Advisor,10,4.499999999999999,0.5,,,
369,IMCKDE,Trip Advisor,2,4.599999999999999,0.5,,,
370,IMCKDE,Trip Advisor,3,4.599999999999999,0.5,,,
371,IMCKDE,Trip Advisor,4,4.599999999999999,0.5,,,
372,IMCKDE,Trip Advisor,5,4.599999999999999,0.5,,,
373,IMCKDE,Trip Advisor,6,4.599999999999999,0.5,,,
374,IMCKDE,Trip Advisor,7,4.599999999999999,0.5,,,
375,IMCKDE,Trip Advisor,8,4.599999999999999,0.5,,,
376,IMCKDE,Trip Advisor,9,4.599999999999999,0.5,,,
377,IMCKDE,Trip Advisor,10,4.599999999999999,0.5,,,
378,IMCKDE,Trip Advisor,2,4.699999999999999,0.5,,,
379,IMCKDE,Trip Advisor,3,4.699999999999999,0.5,,,
380,IMCKDE,Trip Advisor,4,4.699999999999999,0.5,,,
381,IMCKDE,Trip Advisor,5,4.699999999999999,0.5,,,
382,IMCKDE,Trip Advisor,6,4.699999999999999,0.5,,,
383,IMCKDE,Trip Advisor,7,4.699999999999999,0.5,,,
384,IMCKDE,Trip Advisor,8,4.699999999999999,0.5,,,
385,IMCKDE,Trip Advisor,9,4.699999999999999,0.5,,,
386,IMCKDE,Trip Advisor,10,4.699999999999999,0.5,,,
387,IMCKDE,Trip Advisor,2,4.799999999999999,0.5,,,
388,IMCKDE,Trip Advisor,3,4.799999999999999,0.5,,,
389,IMCKDE,Trip Advisor,4,4.799999999999999,0.5,,,
390,IMCKDE,Trip Advisor,5,4.799999999999999,0.5,,,
391,IMCKDE,Trip Advisor,6,4.799999999999999,0.5,,,
392,IMCKDE,Trip Advisor,7,4.799999999999999,0.5,,,
393,IMCKDE,Trip Advisor,8,4.799999999999999,0.5,,,
