,Algorithm,Dataset,n_clusters,Alpha,Multiplo,Precision,Silhouette,Execution Time
1881,IMCKDE,Trip Advisor,2,7.399999999999999,1.5,,0.3001835918077287,2.173585999989882
2340,IMCKDE,Trip Advisor,2,5.499999999999999,2.0,,0.3001835918077287,3.866247500060126
3105,IMCKDE,Trip Advisor,2,6.999999999999998,2.5,,0.30017570497392065,1.9184077000245452
3564,IMCKDE,Trip Advisor,2,5.099999999999999,3.0,,0.3000857500337519,1.6968320000451058
4814,IMCKDE,Trip Advisor,10,4.899999999999999,4.0,,0.3000416108389108,1.574624600005336
4813,IMCKDE,Trip Advisor,9,4.899999999999999,4.0,,0.3000416108389108,1.7119757999898866
4811,IMCKDE,Trip Advisor,7,4.899999999999999,4.0,,0.3000416108389108,1.7552825999446213
4812,IMCKDE,Trip Advisor,8,4.899999999999999,4.0,,0.3000416108389108,1.7616711999289691
4808,IMCKDE,Trip Advisor,4,4.899999999999999,4.0,,0.3000416108389108,1.8115529000060633
4810,IMCKDE,Trip Advisor,6,4.899999999999999,4.0,,0.3000416108389108,1.8980183999519795
4807,IMCKDE,Trip Advisor,3,4.899999999999999,4.0,,0.3000416108389108,1.9874714999459684
4809,IMCKDE,Trip Advisor,5,4.899999999999999,4.0,,0.3000416108389108,2.0795871999580413
4806,IMCKDE,Trip Advisor,2,4.899999999999999,4.0,,0.3000416108389108,2.1538853000383824
3375,IMCKDE,Trip Advisor,2,2.9999999999999996,3.0,,0.2999833937553141,1.8701925999484956
3591,IMCKDE,Trip Advisor,2,5.399999999999999,3.0,,0.29985830296220206,1.5211892999941483
3582,IMCKDE,Trip Advisor,2,5.299999999999999,3.0,,0.29985830296220206,1.705541200004518
1872,IMCKDE,Trip Advisor,2,7.299999999999999,1.5,,0.29981072437611034,2.604862399981357
4653,IMCKDE,Trip Advisor,2,3.1999999999999993,4.0,,0.2998042339138779,2.799197999993339
3123,IMCKDE,Trip Advisor,2,7.199999999999998,2.5,,0.2997447310603716,1.5782787000061944
4005,IMCKDE,Trip Advisor,2,2.9999999999999996,3.5,,0.29974254994884564,1.4230161999585107
5211,IMCKDE,Trip Advisor,2,2.3999999999999995,4.5,,0.2997273391128113,2.4052402999950573
3951,IMCKDE,Trip Advisor,2,2.3999999999999995,3.5,,0.2997273391128113,3.193447199999355
4581,IMCKDE,Trip Advisor,2,2.3999999999999995,4.0,,0.2997273391128113,3.4791791999014094
3573,IMCKDE,Trip Advisor,2,5.199999999999999,3.0,,0.29970341561757063,1.6746653999434784
1863,IMCKDE,Trip Advisor,2,7.199999999999998,1.5,,0.2996222566362389,2.2555091999238357
5283,IMCKDE,Trip Advisor,2,3.1999999999999993,4.5,,0.29953694302554323,2.1955009000375867
1854,IMCKDE,Trip Advisor,2,7.099999999999999,1.5,,0.29932678290428555,2.5496162000345066
